case_number,source,prompt,evaluation_seed
17183,coco-30k,A tow truck is parked and is towing another vehicle.,11236
17184,coco-30k,Businessman with a striped shirt and orange tie.,56544
17185,coco-30k,Many boats are parked in a river in a city. ,19795
17186,coco-30k,A large dog laying on top of a floor under a chair.,39770
17187,coco-30k,A person lays down on a blanket with a dog by her side. ,87870
17188,coco-30k,A cat sitting in behind a window looking out.,56563
17189,coco-30k,A piece of luggage sitting on top of a sidewalk.,3811
17190,coco-30k,A guitar and a frisbee laying on a bed. ,87274
17191,coco-30k,A cat that is standing on a chair and looking at the ground.,70202
17192,coco-30k,A picture painting on a wall of a man with an umbrella. ,82493
17193,coco-30k,A blue trunk sitting on top of a wooden surface.,52243
17194,coco-30k,A herd of cattle walking down a street near lush green trees.,85576
17195,coco-30k,A group of baseball players that are walking in the outfield.,8587
17196,coco-30k,A crowd of people in a waiting area,26083
17197,coco-30k,"Two elephant walking, the one in the foreground kicking up a some dirt. ",8756
17198,coco-30k,"A man smiling wearing a suit jacket, dress shirt and red tie with polka dots with a table and beer in the background.",21236
17199,coco-30k,A big crowd of people huddled together with some umbrellas.,53104
17200,coco-30k,Two brown bears playing in a field together.,81179
17201,coco-30k,A man is standing on a dock near water with a passenger boat going by large buildings in the background.,75744
17202,coco-30k,A polar bear dives off a rock into a river.,87474
17203,coco-30k,"Man lying on floor playing with cat, in cluttered room.",89810
17204,coco-30k,a group of people take a rest near their luggage,36992
17205,coco-30k,The cat with a damaged eye sits on a pair of shoes.,91379
17206,coco-30k,An open truck of a car packed with luggage.,10938
17207,coco-30k,"The old, adult elephant stands near a wire fence.",73911
17208,coco-30k,a track carrying a tank at the back of it,82646
17209,coco-30k,an elephant playing with water at a watering hole with his trunk,48714
17210,coco-30k,A dog curled up on a mans shoes.,4342
17211,coco-30k,a cat licking its lips while holding onto a toy in the shape of an elephant,66936
17212,coco-30k,some woman standing on stage doing a dance with umbrellas ,31459
17213,coco-30k,Two tall elephants standing behind a fenced in area,33883
17214,coco-30k,Two elephants playing by the water hole. ,29237
17215,coco-30k,Two men in suits talking to a group of young people.,93210
17216,coco-30k,An old picture back in the 60's or 70's of a group of men and woman.,16345
17217,coco-30k,the dog has a green frisbee behind it's head,5269
17218,coco-30k,The trucks are all parked closely together. ,41625
17219,coco-30k,The beach chair with the umbrella is empty on  the beach. ,812
17220,coco-30k,A young man holding and looking at a large orange bone.,25341
17221,coco-30k,A group of yacht boats in a shallow body of water.,56913
17222,coco-30k,A large brown bear sniffs something on the ground.,11070
17223,coco-30k,"Very artistic photograph of a house, a lake and a wooden boat",46734
17224,coco-30k,A panting dog sitting down in the shade with a Frisbee,56882
17225,coco-30k,A gray cat lying on a carpet in a room,34179
17226,coco-30k,Two brown bears playing next to  a cave,35668
17227,coco-30k,two cows in a grass field together behind a fence,38616
17228,coco-30k,A boy with an earring and a hat wearing a tie.,20373
17229,coco-30k,Luggage on the curb waiting to be picked up.,80841
17230,coco-30k,A person carrying several sacks under an umbrella.,57067
17231,coco-30k,A woman smiling while standing with a luggage carrier.,66239
17232,coco-30k,A KITTEN NAPPING ON THE KEYBOARD OF A LAPTOP.,84057
17233,coco-30k,A furry cat sits on a blue chair. ,14209
17234,coco-30k,A gray cat on top of a fridge with some foodstuffs,84969
17235,coco-30k,"A red stop sign that says ""PARE"" near a brick intersection. ",68918
17236,coco-30k,The big truck is parked in the parking lot by itself. ,37554
17237,coco-30k,A cat laying on a bed next to a remote control.,57542
17238,coco-30k,Two men sitting on a yellow boat in the water.,54911
17239,coco-30k,The woman and baby are watching the elephant.,5130
17240,coco-30k,A couple of kites are flying in the sky,15520
17241,coco-30k,A woman and her daughter sitting outside in the sun,86614
17242,coco-30k,"Some girls who are standing together, two of them have umbrellas.",69161
17243,coco-30k,Four adults and a child are rafting through river rapids.,78402
17244,coco-30k,a cat laying down next to a mirror ,54555
17245,coco-30k,A elephant that is standing up in the grass.,5991
17246,coco-30k,a man in a tie stands next to a sink ,50544
17247,coco-30k,A group of people that are sitting in a boat in the water.,47266
17248,coco-30k,A stop sign above other signs in front of a house.,25220
17249,coco-30k,A black dog holding a red and green frisbee in it's mouth.,30128
17250,coco-30k,A stack of black bags sitting on top of an airport floor.,14994
17251,coco-30k,A white cat sitting on a bed next to a night stand.,11223
17252,coco-30k,Several horses are seen milling about this grassy area.,88039
17253,coco-30k,Men standing in their boats that are in the water.,95237
17254,coco-30k,A grey cat laying down on a wooden desk.,8892
17255,coco-30k,Man wearing an orange and black neck tie with a blue tee shirt.,59991
17256,coco-30k,Three black bulls in a roadway at night.,38847
17257,coco-30k,An individual with a red tie sitting next to a dog.,16609
17258,coco-30k,An Ox standing in a street while a person rides by on a bike.,74726
17259,coco-30k,A small bear holding a larger bear around the neck while standing on a rock in a river.,48686
17260,coco-30k,Large clock sitting on the side of a large building. ,32564
17261,coco-30k,A cat looks at the camera from a window sill,28359
17262,coco-30k,Several people sitting around a table that has papers and name cards on it.,54408
17263,coco-30k,Two cats staring out a window at a squirrel.,67999
17264,coco-30k,The dog is standing on the boat deck.,24246
17265,coco-30k,A fire department truck sitting in a field lot.,50740
17266,coco-30k,a large bull with horns standing in a grassy field,20832
17267,coco-30k,A boy throwing an orange frisbee in a park. ,55070
17268,coco-30k,A large elephant standing next to a small elephant.,5655
17269,coco-30k,A little girl walking a black dog across a field.,45335
17270,coco-30k,a large truck surrounded by cars with a house in the background,62228
17271,coco-30k,a man leaning over the back of a truck in front of buildings,95973
17272,coco-30k,A group of trains passing by each other on a track.,22446
17273,coco-30k,A cat lying between a computer keyboard and monitor. ,29710
17274,coco-30k,A man and woman ride an elephant next to a body of water. ,92806
17275,coco-30k,A man sitting in a chair opening empty luggage. ,21436
17276,coco-30k,The orange cat is sleepy on the window sill.,83163
17277,coco-30k,very many travelling bags placed on the floor,96484
17278,coco-30k,a road sign showing to stop on the road near a forest,70670
17279,coco-30k,there is a young boy wearing a tie and holding a bear,93070
17280,coco-30k,a track without a door near an ocean,50247
17281,coco-30k,"People in line in the street at an ice cream truck.
",74367
17282,coco-30k,A man walking without a shirt past an orange cone.,69558
17283,coco-30k,A very tall building sitting on top of a sandy beach.,67343
17284,coco-30k,A man standing behind a brown horse carrying lots of luggage.,84310
17285,coco-30k,A group of elephants standing next to each other .,50052
17286,coco-30k,A man dressed in  suit and tie holding a wine glass in his mouth. ,27147
17287,coco-30k,A red train engine traveling down tracks near a forest.,79851
17288,coco-30k,A dog lies in the road chewing on a toy or a donut.,82299
17289,coco-30k,A cat is sitting on top of a computer chair which is covered in hair.,43487
17290,coco-30k,An end sign on a hill with several umbrella structures. ,13887
17291,coco-30k,A picture of an elephant standing on top of a boat.,72046
17292,coco-30k,A man standing at a podium at a USINDO luncheon ,22806
17293,coco-30k,A black bear walking across a lush green field.,91509
17294,coco-30k,The elephants are walking through the tall grass.,81889
17295,coco-30k,A man and woman sitting on the grass outside talking.,18215
17296,coco-30k,a man hanging out side of the train looking at something,71207
17297,coco-30k,A bald man in a suit looking down at something ,54240
17298,coco-30k,a man attemping to tie his tie ,4351
17299,coco-30k,a grey cat sitting by a round mirror,24848
17300,coco-30k,A herd of elephants walking along a river and a rocky hillside.,22457
17301,coco-30k,A large white bear laying on top of a bed with pillows.,37453
17302,coco-30k,A cat sitting on a table outside with a dog laying on the ground ,38625
17303,coco-30k,A woman doing something with a large blue umbrella ,6542
17304,coco-30k,a group of people that are standing up drinking something,28942
17305,coco-30k,A woman standing outside by a tree ,66671
17306,coco-30k,Paddle boats parked at the edge of a river or lake ,37794
17307,coco-30k,A frisbee is in the foreground and a large park in the background ,465
17308,coco-30k,A young boy standing in front of a parking meter.,56134
17309,coco-30k,A row of parked vehicles in front of a tall building.,7692
17310,coco-30k,A brown and black dog is holding a red frisbee.,61106
17311,coco-30k,A man who is walking across the street.,41649
17312,coco-30k,a dog with a umbrella that is pointing to the sky,50391
17313,coco-30k,A dark colored umbrella hanging on a wooden rail in the woods.,10420
17314,coco-30k,A pretty red white and blue parking meter by some shrubs.,786
17315,coco-30k,A man in a tie and a fake moustache,25405
17316,coco-30k,Some people outside at night with a skate board.,93084
17317,coco-30k,a lift truck sits parked next to a pine tree ,72364
17318,coco-30k,Three people on a sandy ocean beach on a sunny day.,73075
17319,coco-30k,a man and his friends are standing outside next to a truck,13854
17320,coco-30k,a large sidewalk is filled with people walking around ,66948
17321,coco-30k,A luggage bag filled with various colored pieces of clothing.,2040
17322,coco-30k,A kitchen with lots of objects on the counter.,78467
17323,coco-30k,A guy walking with a umbrella on a snowy sidewalk.,16046
17324,coco-30k,A dark cat hiding in between a laptop. ,68028
17325,coco-30k,A model of a red cow wearing a pink top hat outside of a building.,22078
17326,coco-30k,A white boat in the water cruising past a group of people. ,19723
17327,coco-30k,An elephant standing next to a tree outside.,95702
17328,coco-30k,a couple of people on a boat on a river,12479
17329,coco-30k,A animal sitting on a table next to a vase of roses. ,43479
17330,coco-30k,A person helping a woman put on a tie. ,49760
17331,coco-30k,a small red train is parked at the station ,39992
17332,coco-30k,A cat is laying on a laptop on a bed,43714
17333,coco-30k,An elephant standing around beside a tree. ,15775
17334,coco-30k,A cat licking drink out of a cup that is sitting on a table. ,80995
17335,coco-30k,A statue of a person and a elephant on a street.,56429
17336,coco-30k,A large bear is walking through its space at the zoo.,70140
17337,coco-30k,A cow standing in the water on a field.,9277
17338,coco-30k,A red fire truck with a bunch of Christmas decorations on back of it.,26058
17339,coco-30k,A cat is standing on a board game,27517
